"activity" "subject" "featureAcceleration" "featureInstrument" "featureJerk" "featureMagnitude" "featureAxis" "featureVariable" "average"
"LAYING" 1 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.82166480472
"LAYING" 1 "Body" "Gyroscope" NA NA "X" "Mean" -0.433401134282
"LAYING" 1 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.87792015931
"LAYING" 1 "Body" "Gyroscope" NA NA "Y" "Mean" -0.508338809444
"LAYING" 1 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.9511612448
"LAYING" 1 "Body" "Gyroscope" NA NA "Z" "Mean" -0.38030664237
"LAYING" 1 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.9124335854
"LAYING" 1 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.8419291525
"LAYING" 1 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.79514486386
"LAYING" 1 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.24888179828
"LAYING" 1 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.8968300184
"LAYING" 1 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.70554977346
"LAYING" 1 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.90772000676
"LAYING" 1 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.4458177198
"LAYING" 1 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.85236629022
"LAYING" 2 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.986557905416667
"LAYING" 2 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.985043282708333
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.451608189833333
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.986561212291667
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.485256730982396
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.984079967083333
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.493999891769792
"LAYING" 2 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.988893691458333
"LAYING" 2 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.976272840833333
"LAYING" 2 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.973997650416667
"LAYING" 2 "Body" "Accelerometer" NA NA "X" "Mean" -0.347675827916667
"LAYING" 2 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.9736529734375
"LAYING" 2 "Body" "Accelerometer" NA NA "Y" "Mean" -0.4989798088375
"LAYING" 2 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.9806512521875
"LAYING" 2 "Body" "Accelerometer" NA NA "Z" "Mean" -0.545813296145833
"LAYING" 2 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.9845127409375
"LAYING" 2 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.991007888229167
"LAYING" 2 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.9896053778125
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.101974134208333
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.993235849166667
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0358590176083333
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.989567537916667
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0701783020833333
"LAYING" 2 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.98803582125
"LAYING" 2 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.961062271145833
"LAYING" 2 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.961131216354167
"LAYING" 2 "Body" "Gyroscope" NA NA "X" "Mean" -0.502453874625
"LAYING" 2 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.988567959375
"LAYING" 2 "Body" "Gyroscope" NA NA "Y" "Mean" -0.54756123
"LAYING" 2 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.982101112708333
"LAYING" 2 "Body" "Gyroscope" NA NA "Z" "Mean" -0.408894520697917
"LAYING" 2 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.961740391354167
"LAYING" 2 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.977435485208333
"LAYING" 2 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.972873912916667
"LAYING" 2 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.509754238125
"LAYING" 2 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.959014441458333
"LAYING" 2 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.752536639375
"LAYING" 2 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.988211865208333
"LAYING" 2 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.646834879583333
"LAYING" 2 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.984230418125
"LAYING" 3 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.977717095645161
"LAYING" 3 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.975713337903226
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.45176604483871
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.982000965403226
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.477474006289516
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.969877368709677
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.491739301549198
"LAYING" 3 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.982902533790323
"LAYING" 3 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.969157810645161
"LAYING" 3 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.966284196935484
"LAYING" 3 "Body" "Accelerometer" NA NA "X" "Mean" -0.352574378145161
"LAYING" 3 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.983233884112903
"LAYING" 3 "Body" "Accelerometer" NA NA "Y" "Mean" -0.490062830704032
"LAYING" 3 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.963076074354839
"LAYING" 3 "Body" "Accelerometer" NA NA "Z" "Mean" -0.534816309559677
"LAYING" 3 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.9634850575
"LAYING" 3 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.985495938225807
"LAYING" 3 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.982853706854839
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.10004449883871
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.980328645
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0389771765322581
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.986762741935484
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.06873387
"LAYING" 3 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.983338279516129
"LAYING" 3 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.958075738145161
"LAYING" 3 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.954858483387097
"LAYING" 3 "Body" "Gyroscope" NA NA "X" "Mean" -0.495492158468145
"LAYING" 3 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.975266092903226
"LAYING" 3 "Body" "Gyroscope" NA NA "Y" "Mean" -0.524975199100806
"LAYING" 3 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.977152574596774
"LAYING" 3 "Body" "Gyroscope" NA NA "Z" "Mean" -0.412171199846774
"LAYING" 3 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.965381231612903
"LAYING" 3 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.972791346129032
"LAYING" 3 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.964218176451613
"LAYING" 3 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.241758478064516
"LAYING" 3 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.982512193064516
"LAYING" 3 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.837032099677419
"LAYING" 3 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.981202749677419
"LAYING" 3 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.48870318516129
"LAYING" 3 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.964807543870968
"LAYING" 4 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.966191448518519
"LAYING" 4 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.959411775
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.442546517814815
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.979191036851852
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.468518427541269
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.943288185
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.490896936365926
"LAYING" 4 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.979386610277778
"LAYING" 4 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.946973652222222
"LAYING" 4 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.934240096287037
"LAYING" 4 "Body" "Accelerometer" NA NA "X" "Mean" -0.347621431305556
"LAYING" 4 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.953329310185185
"LAYING" 4 "Body" "Accelerometer" NA NA "Y" "Mean" -0.476943279275
"LAYING" 4 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.944047506759259
"LAYING" 4 "Body" "Accelerometer" NA NA "Z" "Mean" -0.539096214601852
"LAYING" 4 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.962410884537037
"LAYING" 4 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.984338787685185
"LAYING" 4 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.982620922685185
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.105019877685185
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.975103204259259
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0381230432222222
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.986855629814815
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0712156288333333
"LAYING" 4 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.983965359814815
"LAYING" 4 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.945896561388889
"LAYING" 4 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.947066053425926
"LAYING" 4 "Body" "Gyroscope" NA NA "X" "Mean" -0.488217649976852
"LAYING" 4 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.974098580833333
"LAYING" 4 "Body" "Gyroscope" NA NA "Y" "Mean" -0.532600328575
"LAYING" 4 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.958645896018518
"LAYING" 4 "Body" "Gyroscope" NA NA "Z" "Mean" -0.39587942925
"LAYING" 4 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.963940610833333
"LAYING" 4 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.954557603148148
"LAYING" 4 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.931292216611111
"LAYING" 4 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.420664662222222
"LAYING" 4 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.921199965925926
"LAYING" 4 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.915165104259259
"LAYING" 4 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.969816635740741
"LAYING" 4 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.341531310555556
"LAYING" 4 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.976176608888889
"LAYING" 5 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.978748816826923
"LAYING" 5 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.976929540096154
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.448936587346154
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.98446656625
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.478926978928846
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.965401505480769
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.493145490509808
"LAYING" 5 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.98577748375
"LAYING" 5 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.964506433461538
"LAYING" 5 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.960569077884615
"LAYING" 5 "Body" "Accelerometer" NA NA "X" "Mean" -0.345203676442308
"LAYING" 5 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.965444201634615
"LAYING" 5 "Body" "Accelerometer" NA NA "Y" "Mean" -0.491861866644231
"LAYING" 5 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.9711024
"LAYING" 5 "Body" "Accelerometer" NA NA "Z" "Mean" -0.542472664144231
"LAYING" 5 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.96722235375
"LAYING" 5 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.985518724134615
"LAYING" 5 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.983602936538462
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.102114125
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.983422257692308
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0404446925288462
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.983759479230769
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.07083096875
"LAYING" 5 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.989679592307692
"LAYING" 5 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.957597684711538
"LAYING" 5 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.958775492596154
"LAYING" 5 "Body" "Gyroscope" NA NA "X" "Mean" -0.498845496540481
"LAYING" 5 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.980102238173077
"LAYING" 5 "Body" "Gyroscope" NA NA "Y" "Mean" -0.529060302692308
"LAYING" 5 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.977342585769231
"LAYING" 5 "Body" "Gyroscope" NA NA "Z" "Mean" -0.401654290759615
"LAYING" 5 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.9619447575
"LAYING" 5 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.966777882884615
"LAYING" 5 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.958612786346154
"LAYING" 5 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.483470597692308
"LAYING" 5 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.945695336153846
"LAYING" 5 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.954890346153846
"LAYING" 5 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.985964053846154
"LAYING" 5 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.263644691923077
"LAYING" 5 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.977076645
"LAYING" 6 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.951702987982456
"LAYING" 6 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.950947299210526
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.435362120657895
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.967480107105263
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.468594356288947
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.934695973596491
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.47556883592807
"LAYING" 6 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.961606798070175
"LAYING" 6 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.915615251526316
"LAYING" 6 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.901350112894737
"LAYING" 6 "Body" "Accelerometer" NA NA "X" "Mean" -0.345228867035088
"LAYING" 6 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.933256181757018
"LAYING" 6 "Body" "Accelerometer" NA NA "Y" "Mean" -0.466979854229825
"LAYING" 6 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.927178023157895
"LAYING" 6 "Body" "Accelerometer" NA NA "Z" "Mean" -0.535582241324561
"LAYING" 6 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.924610424385965
"LAYING" 6 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.954670847807017
"LAYING" 6 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.954330828070175
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.111267284631579
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.939611608245614
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0424104289992982
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.958628819649123
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0717774743859649
"LAYING" 6 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.959579071578947
"LAYING" 6 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.919566907105263
"LAYING" 6 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.924804693596491
"LAYING" 6 "Body" "Gyroscope" NA NA "X" "Mean" -0.471700136162281
"LAYING" 6 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.958771601842105
"LAYING" 6 "Body" "Gyroscope" NA NA "Y" "Mean" -0.524494929720175
"LAYING" 6 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.94450002368421
"LAYING" 6 "Body" "Gyroscope" NA NA "Z" "Mean" -0.376767277280702
"LAYING" 6 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.943139326491228
"LAYING" 6 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.918878850824561
"LAYING" 6 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.897326245964912
"LAYING" 6 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.47670987877193
"LAYING" 6 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.887746310350877
"LAYING" 6 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.956593814210526
"LAYING" 6 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.959161956491228
"LAYING" 6 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.175867709021053
"LAYING" 6 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.928130738421053
"LAYING" 7 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.974096749423077
"LAYING" 7 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.966335080192308
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.441751322557692
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.982268965769231
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.473734615241346
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.974489652596154
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.491345184756442
"LAYING" 7 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.974028029711538
"LAYING" 7 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.932184452240385
"LAYING" 7 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.908790988036538
"LAYING" 7 "Body" "Accelerometer" NA NA "X" "Mean" -0.351623775769231
"LAYING" 7 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.933817095288462
"LAYING" 7 "Body" "Accelerometer" NA NA "Y" "Mean" -0.481317552767308
"LAYING" 7 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.924590285480769
"LAYING" 7 "Body" "Accelerometer" NA NA "Z" "Mean" -0.529986340596154
"LAYING" 7 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.953179506153846
"LAYING" 7 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.978563370576923
"LAYING" 7 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.970304086634615
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.105944243484615
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.9738372325
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.0358897425826923
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.976483727307692
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0671901794615385
"LAYING" 7 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.988871878269231
"LAYING" 7 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.928462177019231
"LAYING" 7 "Body" "Gyroscope" NA "Magnitude" ")" "Standard Deviation" -0.918777488846154
"LAYING" 7 "Body" "Gyroscope" NA NA "X" "Mean" -0.478255483411635
"LAYING" 7 "Body" "Gyroscope" NA NA "X" "Standard Deviation" -0.961237538461538
"LAYING" 7 "Body" "Gyroscope" NA NA "Y" "Mean" -0.545587951375
"LAYING" 7 "Body" "Gyroscope" NA NA "Y" "Standard Deviation" -0.942399904519231
"LAYING" 7 "Body" "Gyroscope" NA NA "Z" "Mean" -0.400492640596154
"LAYING" 7 "Body" "Gyroscope" NA NA "Z" "Standard Deviation" -0.957085651538461
"LAYING" 7 "Gravity" "Accelerometer" NA "Magnitude" ")" "Mean" -0.936392023846154
"LAYING" 7 "Gravity" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.907039513153846
"LAYING" 7 "Gravity" "Accelerometer" NA NA "X" "Mean" -0.502814250576923
"LAYING" 7 "Gravity" "Accelerometer" NA NA "X" "Standard Deviation" -0.914221270096154
"LAYING" 7 "Gravity" "Accelerometer" NA NA "Y" "Mean" 0.393444278076923
"LAYING" 7 "Gravity" "Accelerometer" NA NA "Y" "Standard Deviation" -0.955543549230769
"LAYING" 7 "Gravity" "Accelerometer" NA NA "Z" "Mean" 0.907537823461538
"LAYING" 7 "Gravity" "Accelerometer" NA NA "Z" "Standard Deviation" -0.961908984423077
"LAYING" 8 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.967470171018519
"LAYING" 8 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.963372805740741
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.442638952925926
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.974606476851852
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.476273760746852
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.977845916851852
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.489516507900556
"LAYING" 8 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.967393398796296
"LAYING" 8 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.933794139703704
"LAYING" 8 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.915254154712963
"LAYING" 8 "Body" "Accelerometer" NA NA "X" "Mean" -0.346142140490741
